budget,workload,method,metric,mean,median,p25,p75,n
k64,Summ.,SurrogateKV-Dynamic,top5_shift,0.11060050568765524,0.06507297631672965,0.018856791381140492,0.16977540225336496,3072
k64,Summ.,SurrogateKV-Dynamic,top1_shift,0.07968748245937818,0.04854750019918752,0.0163992118050192,0.11173414883191965,3072
k64,Summ.,SurrogateKV-Dynamic,support_rel_shift,0.4863020364831219,0.47923840108136223,0.20078094455335513,0.7733458964818258,3072
k64,Summ.,SurrogateKV-Dynamic,js_to_fullkv,0.07232609298516669,0.0347054683024237,0.010470876498951249,0.09931731453689524,3072
k64,Summ.,SurrogateKV-Dynamic,l1_to_fullkv,0.35245746739950473,0.2050195008814471,0.07690532280237733,0.5189164790524706,3072
k64,Summ.,SurrogateKV-Snap,entropy_shift,0.08791012372324891,0.06678400214437463,0.025712763794712445,0.1350166356001779,3072
k64,Summ.,SurrogateKV-Snap,top5_shift,0.11352096955777902,0.06628258216945304,0.018925432565415456,0.1742381750901783,3072
k64,Summ.,SurrogateKV-Snap,top1_shift,0.08194645084048745,0.04937697519250042,0.016989593773096084,0.11489776563587292,3072
k64,Summ.,SurrogateKV-Snap,support_rel_shift,0.4897521675760801,0.4893793105070403,0.2021950478718243,0.7767649986613516,3072
k64,Summ.,SurrogateKV-Snap,js_to_fullkv,0.07465490042173743,0.035122680568028586,0.01067312066404148,0.1015297622979119,3072
k64,Summ.,SurrogateKV-Snap,l1_to_fullkv,0.3608483194333068,0.21093641922987694,0.07671034007432709,0.5282148603130795,3072
k64,Synthetic,Ada-KV,entropy_shift,0.1336331998121707,0.11990061876276759,0.05260817563088057,0.20315624719586223,2048
k64,Synthetic,Ada-KV,top5_shift,0.06775640293255265,0.04182864208841208,0.01962740309249575,0.08341472733842531,2048
k64,Synthetic,Ada-KV,top1_shift,0.05480049613147947,0.033672447047987115,0.014937150858134046,0.0663282250098375,2048
k64,Synthetic,Ada-KV,support_rel_shift,0.37450166202049817,0.34292981737813444,0.17877603252911245,0.5375048835540146,2048
k64,Synthetic,DynamicKV,entropy_shift,0.15729049205286416,0.14565223867440077,0.06364590587327293,0.24154787278243575,2048
k64,Synthetic,DynamicKV,top5_shift,0.06898814763606573,0.046629380930130804,0.023466340863644214,0.09014729038424532,2048
k64,Synthetic,DynamicKV,top1_shift,0.05738522557040351,0.0357041520224108,0.01607157103798136,0.07239269092991575,2048
k64,Synthetic,DynamicKV,support_rel_shift,0.413486859099201,0.3859575035182711,0.23286590439844393,0.5699684835770695,2048
k64,Synthetic,SnapKV,entropy_shift,0.15369935995912626,0.138266482296513,0.05856199085889288,0.2362355410080046,2048
k64,Synthetic,SnapKV,top5_shift,0.07305876764260268,0.04690306045372439,0.023424901277732946,0.09295525278739797,2048
k64,Synthetic,SnapKV,top1_shift,0.05823881442756997,0.0374720390033223,0.017481112058632925,0.07357840659605273,2048
k64,Synthetic,SnapKV,support_rel_shift,0.4206043418509349,0.39602389111845876,0.24125548980712544,0.5818142712701635,2048
k64,Synthetic,SurrogateKV-Ada,entropy_shift,0.10991592937275615,0.09090367492328934,0.036054602484143106,0.1630201967229263,2048
k64,Synthetic,SurrogateKV-Ada,top5_shift,0.12522631941171208,0.09062662856286982,0.042783012920854874,0.180126908629041,2048
k64,Synthetic,SurrogateKV-Ada,top1_shift,0.09771259773844215,0.06667920467059432,0.02838337230186913,0.1360437817913377,2048
k64,Synthetic,SurrogateKV-Ada,support_rel_shift,0.5228670316870128,0.5287227717856102,0.3367869261042777,0.7096056527821496,2048
k64,Synthetic,SurrogateKV-Ada,js_to_fullkv,0.10305322265309533,0.06883024319427583,0.028239011128851615,0.14508257071100258,2048
k64,Synthetic,SurrogateKV-Ada,l1_to_fullkv,0.48446042093378217,0.36979284580106947,0.17066666783426082,0.7071082282895792,2048
k64,Synthetic,SurrogateKV-Dynamic,entropy_shift,0.1483497836273715,0.13091237033877512,0.05233675763771644,0.23082321433297953,2048
k64,Synthetic,SurrogateKV-Dynamic,top5_shift,0.08184687679385326,0.055495342561362626,0.026124203580088157,0.10738316478251167,2048
k64,Synthetic,SurrogateKV-Dynamic,top1_shift,0.0752112225620057,0.04965356563424245,0.023095900646569786,0.09650680542258606,2048
k64,Synthetic,SurrogateKV-Dynamic,support_rel_shift,0.4410449958510828,0.42230459991963,0.25423545089047656,0.6011741947488358,2048
k64,Synthetic,SurrogateKV-Dynamic,js_to_fullkv,0.061688548469711606,0.03586125239791664,0.01777791566019945,0.07013505517245128,2048
k64,Synthetic,SurrogateKV-Dynamic,l1_to_fullkv,0.32902815608635055,0.2394664148825194,0.13209175308818777,0.4079041347624454,2048
k64,Synthetic,SurrogateKV-Snap,entropy_shift,0.1446112565184562,0.1262441053891854,0.04997545175254306,0.22295037888192487,2048
k64,Synthetic,SurrogateKV-Snap,top5_shift,0.08633002267915212,0.057740644550050235,0.027301739457445268,0.11693873525088885,2048
k64,Synthetic,SurrogateKV-Snap,top1_shift,0.08257590927737318,0.05460647328505277,0.024660994261436336,0.10688939581036665,2048
k64,Synthetic,SurrogateKV-Snap,support_rel_shift,0.4532011589631112,0.4408310953676853,0.2615016686437984,0.6308597333280974,2048
k64,Synthetic,SurrogateKV-Snap,js_to_fullkv,0.06516221991005255,0.038102986539786034,0.018686842224833584,0.07669643391857772,2048
k64,Synthetic,SurrogateKV-Snap,l1_to_fullkv,0.3475480423455526,0.25781843076482264,0.13699578247109462,0.4429994612605291,2048
